doc_id,filename,status,subject_area,subject_source,page_count,lines_stripped,units_detected,chunks_emitted,toc_chunks_dropped,errors,warnings,processed_at
DOC-001-19th-amendment-act,19th-amendment-act.pdf,OK_WARN,constitutional_law,manifest,62,0,33,47,0,,DOC-001-19th-amendment-act-C0036 below min_chunk_chars (102),2026-08-13T07:07:11+00:00
DOC-002-20th-amendment-act,20th-amendment-act.pdf,OK_WARN,constitutional_law,manifest,40,0,51,45,0,,DOC-002-20th-amendment-act-C0002 below min_chunk_chars (85) | DOC-002-20th-amendment-act-C0005 below min_chunk_chars (97) | DOC-002-20th-amendment-act-C0027 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0028 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0029 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0030 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0031 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0032 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0035 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0036 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0037 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0038 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0039 below min_chunk_chars (100) | DOC-002-20th-amendment-act-C0042 below min_chunk_chars (85),2026-08-13T07:07:19+00:00
DOC-003-21st-amendment-act,21st-amendment-act.pdf,OK_WARN,constitutional_law,manifest,50,0,28,39,0,,DOC-003-21st-amendment-act-C0002 below min_chunk_chars (87) | DOC-003-21st-amendment-act-C0037 below min_chunk_chars (107),2026-08-13T07:07:25+00:00
DOC-004-arbitration-act-2,Arbitration act 2.pdf,FAIL,civil_procedure,manifest,23,0,0,0,,No extractable text,,2026-08-13T07:07:31+00:00
DOC-005-code-of-criminal-procedure,CODE OF CRIMINAL PROCEDURE.html,OK_WARN,criminal_procedure,manifest,1,1,288,311,1,,DOC-005-code-of-criminal-procedure-C0009 below min_chunk_chars (105) | DOC-005-code-of-criminal-procedure-C0081 below min_chunk_chars (102) | DOC-005-code-of-criminal-procedure-C0112 below min_chunk_chars (59) | DOC-005-code-of-criminal-procedure-C0137 below min_chunk_chars (82) | DOC-005-code-of-criminal-procedure-C0186 below min_chunk_chars (113) | DOC-005-code-of-criminal-procedure-C0195 below min_chunk_chars (91) | DOC-005-code-of-criminal-procedure-C0213 below min_chunk_chars (97) | DOC-005-code-of-criminal-procedure-C0216 below min_chunk_chars (102) | DOC-005-code-of-criminal-procedure-C0222 below min_chunk_chars (36) | DOC-005-code-of-criminal-procedure-C0273 below min_chunk_chars (113) | DOC-005-code-of-criminal-procedure-C0285 below min_chunk_chars (119) | DOC-005-code-of-criminal-procedure-C0311 below min_chunk_chars (9) | 1 table-of-contents chunk(s) dropped,2026-08-13T07:07:31+00:00
DOC-006-companies-act-no-7,companies Act no 7.pdf,OK_WARN,company_commercial,manifest,81,0,584,87,42,,DOC-006-companies-act-no-7-C0007 below min_chunk_chars (84) | DOC-006-companies-act-no-7-C0010 below min_chunk_chars (81) | DOC-006-companies-act-no-7-C0013 below min_chunk_chars (91) | DOC-006-companies-act-no-7-C0015 below min_chunk_chars (86) | DOC-006-companies-act-no-7-C0017 below min_chunk_chars (90) | DOC-006-companies-act-no-7-C0025 below min_chunk_chars (102) | DOC-006-companies-act-no-7-C0028 below min_chunk_chars (92) | DOC-006-companies-act-no-7-C0030 below min_chunk_chars (119) | DOC-006-companies-act-no-7-C0031 below min_chunk_chars (81) | DOC-006-companies-act-no-7-C0033 below min_chunk_chars (92) | DOC-006-companies-act-no-7-C0034 below min_chunk_chars (111) | DOC-006-companies-act-no-7-C0036 below min_chunk_chars (83) | DOC-006-companies-act-no-7-C0044 below min_chunk_chars (85) | 42 table-of-contents chunk(s) dropped,2026-08-13T07:07:31+00:00
DOC-007-consolidated-civil-procedure-code-upto-a,Consolidated-Civil-Procedure-Code-upto-Act-No.-43-of-2024.pdf,OK_WARN,civil_procedure,manifest,81,0,29,68,1,,1 table-of-contents chunk(s) dropped,2026-08-13T07:07:44+00:00
DOC-008-constitution,constitution.pdf,OK_WARN,constitutional_law,manifest,81,0,41,53,3,,DOC-008-constitution-C0015 below min_chunk_chars (86) | 3 table-of-contents chunk(s) dropped,2026-08-13T07:08:06+00:00
DOC-009-consumer-affairs-authority,CONSUMER AFFAIRS AUTHORITY.html,OK_WARN,contract_law,manifest,1,1,44,55,0,,DOC-009-consumer-affairs-authority-C0007 below min_chunk_chars (94) | DOC-009-consumer-affairs-authority-C0026 below min_chunk_chars (79),2026-08-13T07:08:26+00:00
DOC-010-evidence-ordinance-consolidated-2024,Evidence-Ordinance-Consolidated-2024.pdf,OK_WARN,evidence,manifest,81,0,19,50,0,,DOC-010-evidence-ordinance-consolidated-2024-C0035 below min_chunk_chars (112),2026-08-13T07:08:26+00:00
